DATA:           	LANG:   	MIN_C:  	MAX_F:  	   NIST:	   BLUE:	NAME:
presemt-dev     	no-de   	       1	0.500000	  4.4036	  0.0861	centroid_presemt-dev_no-de_min_count=1_max_freq=0.500000
presemt-dev     	no-de   	       1	1.000000	  4.4036	  0.0861	centroid_presemt-dev_no-de_min_count=1_max_freq=1.000000
presemt-dev     	no-de   	       5	0.000100	  4.5701	  0.0928	centroid_presemt-dev_no-de_min_count=5_max_freq=0.000100
presemt-dev     	no-de   	       5	0.001000	  4.4032	  0.0880	centroid_presemt-dev_no-de_min_count=5_max_freq=0.001000
presemt-dev     	no-de   	       5	0.005000	  4.4234	  0.0877	centroid_presemt-dev_no-de_min_count=5_max_freq=0.005000
presemt-dev     	no-de   	       5	0.010000	  4.4552	  0.0910	centroid_presemt-dev_no-de_min_count=5_max_freq=0.010000
presemt-dev     	no-de   	       5	0.050000	  4.3622	  0.0824	centroid_presemt-dev_no-de_min_count=5_max_freq=0.050000
presemt-dev     	no-de   	       5	0.100000	  4.4118	  0.0878	centroid_presemt-dev_no-de_min_count=5_max_freq=0.100000
presemt-dev     	no-de   	       5	0.250000	  4.3977	  0.0860	centroid_presemt-dev_no-de_min_count=5_max_freq=0.250000
presemt-dev     	no-de   	       5	0.500000	  4.4006	  0.0860	centroid_presemt-dev_no-de_min_count=5_max_freq=0.500000
presemt-dev     	no-de   	       5	1.000000	  4.4006	  0.0860	centroid_presemt-dev_no-de_min_count=5_max_freq=1.000000
presemt-dev     	no-de   	      10	0.000100	  4.5670	  0.0927	centroid_presemt-dev_no-de_min_count=10_max_freq=0.000100
presemt-dev     	no-de   	      10	0.001000	  4.3693	  0.0863	centroid_presemt-dev_no-de_min_count=10_max_freq=0.001000
presemt-dev     	no-de   	      10	0.005000	  4.4052	  0.0869	centroid_presemt-dev_no-de_min_count=10_max_freq=0.005000
presemt-dev     	no-de   	      10	0.010000	  4.4486	  0.0908	centroid_presemt-dev_no-de_min_count=10_max_freq=0.010000
presemt-dev     	no-de   	      10	0.050000	  4.3641	  0.0836	centroid_presemt-dev_no-de_min_count=10_max_freq=0.050000
presemt-dev     	no-de   	      10	0.100000	  4.4118	  0.0878	centroid_presemt-dev_no-de_min_count=10_max_freq=0.100000
presemt-dev     	no-de   	      10	0.250000	  4.4036	  0.0861	centroid_presemt-dev_no-de_min_count=10_max_freq=0.250000
presemt-dev     	no-de   	      10	0.500000	  4.4066	  0.0861	centroid_presemt-dev_no-de_min_count=10_max_freq=0.500000
